year;high;low
2010;0.000297751834490957;0.000297751834490957
2011;0.000332060062364689;0.000332060062364689
2012;0.000403378849286115;0.000403378849286115
2013;0.000409387467368015;0.000409387467368015
2014;0.000620114818168814;0.000620114818168814
2015;0.000906433432071487;0.000906433432071487
2016;0.00755639491143243;0.00335365687882374
2017;0.00975935223398891;0.00358258522075101
2018;0.0132089325601921;0.0150572246065808
2019;0.0179171314226566;0.0226000708466171
2020;0.0243559060920908;0.03
2021;0.0331796027789018;0.0484358706986444
2022;0.0452981471938521;0.0665289256198347
2023;0.0619810350265226;0.0842886386898669
2024;0.0850058362293283;0.101724137931034
2025;0.116871416740592;0.118844221105528
2026;0.161105828149943;0.135657370517928
2027;0.22271353977059;0.152171767028628
2028;0.308829053823051;0.16839530332681
2029;0.429678098097932;0.184311718607369
2030;0.6;0.199994889553517
2031;0.615154980161218;0.221873592517739
2032;0.630546403799369;0.243299064347109
2033;0.646391774634469;0.264285244116603
2034;0.662704495559453;0.284869679678514
2035;0.67949839403502;0.304992683231129
2036;0.696787735067092;0.324772951886991
2037;0.714587234624098;0.344135818724917
2038;0.732912073506793;0.363119713477407
2039;0.751777911683867;0.381735944695211
2040;0.771200903107103;0.399999294624364
2041;0.791197711020427;0.421705316382392
2042;0.811785523777725;0.443000693017961
2043;0.832982071184887;0.463903208553666
2044;0.854805641382108;0.484420585612165
2045;0.87727509828307;0.504563371554243
2046;0.900409899588266;0.524341732092763
2047;0.924230115390293;0.543762417377256
2048;0.948756447389646;0.562841009389201
2049;0.974010248740151;0.581583549340087
2050;1.0;0.599998838593418
